Sponsor Class,Sponsor Category,Sponsor Type,Sponsor Code,Sponsor,Sponsor Acronym
Federal,Other Federal Category,All Other Federal,150,CIA Central Intelligence Agency,CIA
Federal,Other Federal Category,All Other Federal,5510,Federal Mediation & Conciliation Service,FMCS
Federal,Other Federal Category,All Other Federal,5440,National Commission on Air Quality,
Federal,Other Federal Category,All Other Federal,5350,VA Department of Veterans Affairs,VA
Federal,Other Federal Category,All Other Federal,5325,Smithsonian - National Museum Natural History,
Federal,Other Federal Category,All Other Federal,5305,Smithsonian - Office of Fellowships & Grants,
Federal,Other Federal Category,All Other Federal,5302,Smithsonian - Office of Environmental Sciences,
Federal,Other Federal Category,All Other Federal,5301,Smithsonian Institution,
Federal,Other Federal Category,All Other Federal,5290,National Archives and Records Administration,
Federal,Other Federal Category,All Other Federal,5285,SBA Small Business Administration,SBA
Federal,Other Federal Category,All Other Federal,6434,Federal Vietnam Education Foundation,VEF
Federal,Other Federal Category,All Other Federal,6286,US Election Assistance Commission,EAC
Federal,Other Federal Category,All Other Federal,5854,Department of Homeland Security,DHS
Federal,Other Federal Category,All Other Federal,4825,USDS United States Embassy,
Federal,Other Federal Category,All Other Federal,2707,Salton Sea Authority,SSA
Federal,Other Federal Category,All Other Federal,2801,Federal Presidio Trust,
Federal,Other Federal Category,All Other Federal,5950,Inter-American Foundation,IAF
Federal,Other Federal Category,All Other Federal,5700,Tennessee Valley Authority,TVA
Federal,Other Federal Category,All Other Federal,5670,USPS United States Postal Service,USPS
Federal,Other Federal Category,All Other Federal,5645,President's Committee on the Arts and the Humanities,PCAH
Federal,Other Federal Category,All Other Federal,5665,CPSC Consumer Product Safety Commission,CPSC
Federal,Other Federal Category,All Other Federal,5664,Corporation for National and Community Service,
Federal,Other Federal Category,All Other Federal,5660,Commission on Civil Rights,
Federal,Other Federal Category,All Other Federal,5655,Legal Services Corporation,LSC
Federal,Other Federal Category,All Other Federal,5653,Japan-United States Friendship Commission,JUSFC
Federal,Other Federal Category,All Other Federal,5555,FTC Federal Trade Commission,FTC
Federal,Other Federal Category,All Other Federal,5600,General Services Administration,GSA
Federal,Other Federal Category,All Other Federal,5550,Federal Reserve System,
Federal,Other Federal Category,All Other Federal,110,Action-Vista,
Federal,Other Federal Category,All Other Federal,108,Action-University Year for Action,
Federal,Other Federal Category,All Other Federal,100,Exec OP Community Services Administration,
Federal,Other Federal Category,All Other Federal,4500,Department of the Treasury,
Federal,Other Federal Category,All Other Federal,5625,DS International Communication Agency,ICA
Federal,Other Federal Category,All Other Federal,4499,USDS State Department Miscellaneous Agencies and Programs,USDS
Federal,Other Federal Category,All Other Federal,4477,DS Supply and Transportation Division,
Federal,Other Federal Category,All Other Federal,4420,DS Man & the Biosphere Program,
Federal,Other Federal Category,All Other Federal,4475,Peace Corps,
Federal,Other Federal Category,All Other Federal,4430,Arms Control and Disarmament Agency,ACDA
Federal,Other Federal Category,All Other Federal,4415,USAID Agency for International Development,USAID
Federal,Other Federal Category,All Other Federal,785,Marine Mammal Commission,MMC
Federal,Other Federal Category,All Other Federal,299,Federal Misc Independent Agencies & Programs,
Federal,Other Federal Category,All Other Federal,223,Library of Congress,
Federal,Other Federal Category,All Other Federal,200,Exec OP National Advisory Comm on Health Manpower,
Federal,Other Federal Category,All Other Federal,162,Exec OP Council of Economic Advisers,
Federal,Other Federal Category,All Other Federal,160,Council on Environmental Quality,CEQ
Federal,Other Federal Category,All Other Federal,1388,United States Sentencing Comission (Judiciary),USSC
Federal,DHHS,DHHS-NIH,3170,NIH National Institute of Mental Health,NIMH
Federal,DHHS,DHHS-NIH,3171,NIH National Institute on Alcohol Abuse & Alcoholism,NIAAA
Federal,DHHS,DHHS-NIH,3172,NIH National Institute on Drug Abuse,NIDA
Federal,DHHS,DHHS-NIH,3404,NIH National Center for Nursing Research,NCNR
Federal,DHHS,DHHS-NIH,3420,NIH National Institute of Environmental Health Sciences,NIEHS
Federal,DHHS,DHHS-NIH,3435,"NIH National Heart, Lung, and Blood Institute",NHLBI
Federal,DHHS,DHHS-NIH,3445,NIH National Institute of Allergy & Infectious Diseases,NIAID
Federal,DHHS,DHHS-NIH,3457,NIH National Institute of Diabetes and Digestive and Kidney Diseases,NIDDK
Federal,DHHS,DHHS-NIH,3405,NIH National Center for Complementary and Integrative Health,NCCIH
Federal,DHHS,DHHS-NIH,3499,NIH National Library of Medicine,NLM
Federal,DHHS,DHHS-NIH,3498,NIH National Institute of Neurological Disorders and Stroke,NINDS
Federal,DHHS,DHHS-NIH,3490,NIH National Eye Institute,NEI
Federal,DHHS,DHHS-NIH,3485,NIH National Institute of General Medical Sciences,NIGMS
Federal,DHHS,DHHS-NIH,3475,NIH National Institute of Dental and Craniofacial Research,NIDCR
Federal,DHHS,DHHS-NIH,3470,NIH National Institute on Deafness and Other Communication Disorders,NIDCD
Federal,DHHS,DHHS-NIH,3465,NIH National Institute of Child Health & Human Development,NICHD
Federal,DHHS,DHHS-NIH,3456,NIH National Institute of Arthritis and Musculoskeletal and Skin Diseases,NIAMS
Federal,DHHS,DHHS-NIH,4669,NIH National Center on Minority Health & Health Disparities,NCMHHD
Federal,DHHS,DHHS-NIH,4319,NIH National Institute of Biomedical Imaging and Bioengineering,NIBIB
Federal,DHHS,DHHS-NIH,3440,NIH National Institute on Aging,NIA
Federal,DHHS,DHHS-NIH,3425,NIH National Cancer Institute,NCI
Federal,DHHS,DHHS-NIH,3417,"""DEACTIVATED - use 00V8VH"" NIH National Center for Research Resources (CTRS-MMRRC)",NCRR
