Sponsor,Control Unit,Division,Department,Sponsor Class,2014,2015,2016
"""DEACTIVATED - use 00V8VH"" NIH National Center for Research Resources (CTRS-MMRRC)",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,nan,$0 ,nan
3M Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,nan,"$250,000 ",nan
"4D Molecular Therapeutics, LLC",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,nan,nan,"$22,408 "
"AFINGEN, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,nan,nan,"$5,000 "
"APATH, L.C.C.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,$0 ,nan,nan
AYUSA International,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Not for Profit,"$54,481 ","$60,000 ",nan
Aalborg University Copenhagen,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Not for Profit,nan,"$53,015 ",nan
Abraham J. & Phyllis Katz Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,$0 ,nan,nan
"Abt Associates, Inc.",Colleges,CNR College of Natural Resources,Null,Not for Profit,"$73,942 ",nan,nan
Academy of Applied Science,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,nan,"$4,000 ","$4,000 "
Academy of Korean Studies,Schools,School of Law,Boalt Law School,Not for Profit,nan,nan,"$30,000 "
Academy of Korean Studies,Vice Chancellor - Research,Academic Research Units,IEAS Institute of East Asian Studies,Not for Profit,"$4,238 ","($5,418)","($14,187)"
Academy of Sciences of the Czech Republic,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Non Federal Governmental,nan,"$94,582 ",nan
Adams Legacy Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations ,Research Field Stations and Nature Reserves,Not for Profit,nan,nan,"$5,000 "
"Addgene, Inc.",Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,$0 ,nan,nan
"Addgene, Inc.",Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Not for Profit,$0 ,$0 ,$0 
"Addgene, Inc.",Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,$0 ,$0 ,$0 
"Addgene, Inc.",Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Not for Profit,$0 ,$0 ,nan
"Addgene, Inc.",Colleges,Chemistry Department,Chemistry Department,Not for Profit,$0 ,$0 ,$0 
"Addgene, Inc.",Colleges,College of Engineering,Bioengineering,Not for Profit,$0 ,$0 ,$0 
"Addgene, Inc.",L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,$0 ,$0 ,nan
"Addgene, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,nan,$0 ,nan
"Addgene, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,Innovative Genomics Initiative,Not for Profit,nan,$0 ,$0 
"Addgene, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,$0 ,$0 ,$0 
"Addgene, Inc.",Schools,School of Optometry,Null,Not for Profit,$0 ,nan,$0 
"Addgene, Inc.",Schools,School of Public Health,Null,Not for Profit,$0 ,nan,$0 
"Addgene, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,$0 ,$0 ,nan
"Addgene, Inc.",Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,$0 ,$0 ,nan
"Addgene, Inc.",Vice Chancellor - Research,VC Res Other Research Units,EBI Energy Biosciences Institute,Not for Profit,nan,$0 ,nan
"Addgene, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,$0 ,$0 ,$0 
Aditazz,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Industry,nan,"($28,000)",nan
