,Sponsor,Control Unit,Division,Department,Sponsor Class,2014,2015,2016
0,"""DEACTIVATED - use 00V8VH"" NIH National Center for Research Resources (CTRS-MMRRC)",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,0,0,0
1,3M Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,250000,0
2,"4D Molecular Therapeutics, LLC",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,0,0,22408
3,"AFINGEN, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,0,0,5000
4,"APATH, L.C.C.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,0,0,0
5,AYUSA International,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Not for Profit,54481,60000,0
6,Aalborg University Copenhagen,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Not for Profit,0,53015,0
7,Abraham J. & Phyllis Katz Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
8,"Abt Associates, Inc.",Colleges,CNR College of Natural Resources,Null,Not for Profit,73942,0,0
9,Academy of Applied Science,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,4000,4000
10,Academy of Korean Studies,Schools,School of Law,Boalt Law School,Not for Profit,0,0,30000
11,Academy of Korean Studies,Vice Chancellor - Research,Academic Research Units,IEAS Institute of East Asian Studies,Not for Profit,4238,-5418,-14187
12,Academy of Sciences of the Czech Republic,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Non Federal Governmental,0,94582,0
13,Adams Legacy Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations,Research Field Stations and Nature Reserves,Not for Profit,0,0,5000
14,"Addgene, Inc.",Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,0,0
15,"Addgene, Inc.",Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Not for Profit,0,0,0
16,"Addgene, Inc.",Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,0,0,0
17,"Addgene, Inc.",Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Not for Profit,0,0,0
18,"Addgene, Inc.",Colleges,Chemistry Department,Chemistry Department,Not for Profit,0,0,0
19,"Addgene, Inc.",Colleges,College of Engineering,Bioengineering,Not for Profit,0,0,0
20,"Addgene, Inc.",L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,0,0,0
21,"Addgene, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,0,0,0
22,"Addgene, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,Innovative Genomics Initiative,Not for Profit,0,0,0
23,"Addgene, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
24,"Addgene, Inc.",Schools,School of Optometry,Null,Not for Profit,0,0,0
25,"Addgene, Inc.",Schools,School of Public Health,Null,Not for Profit,0,0,0
26,"Addgene, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,0,0,0
27,"Addgene, Inc.",Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,0,0,0
28,"Addgene, Inc.",Vice Chancellor - Research,VC Res Other Research Units,EBI Energy Biosciences Institute,Not for Profit,0,0,0
29,"Addgene, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,0,0
