Control Unit,Division,Department,Direct Sponsor,FY 2014,UC Report Date

FY 2015,FY 2016
L&S College of Letters &
Science,Division of Physical Sciences,Statistics,University of Notre Dame

University of Pennsylvania,"$197,213

$9,706",,$0
,,,USDA Forest Service,"$2,000",,
,,Total,,"$37,125,830","$67,891,758","$59,299,600"
,Division of Social Sciences,Anthropology,Federal Presidio Trust,"($30,284)","$3,500",
,,,Leakey Foundation,,"$15,240",$0
,,,Leiden University,,"$41,232",
,,,Mindfulness Connections,,"$10,000",$0
,,,NSF National Science Founda..,,"$188,789",
,,,Oxford University,$0,,
,,,Research Institute for Humanit..,,"$11,550",
,,,RIKEN,,,$0
,,,UBS Optimus Foundation,,$0,
,,,UC MEXUS,,"$12,000","$8,260"
,,,UC San Francisco,"$199,366","$103,120",
,,,Wenner-Gren Foundation for ..,"$19,900","$19,985",$0
,,D-Lab,USDCOM Bureau of Census,$0,$0,
,,Demography,NIH National Institute on Aging,"$879,715","$1,918","$11,664"
,,Economics,Canadian Institute for Advanc..,"$48,000","$48,000",
,,,DOL Bureau of Labor Statistics,,$0,
,,,Foundation Banque De France,"$41,108",,
,,,Institute for New Economic Th..,,,$0
,,,UC MEXUS,"$3,250",,"$8,870"
,,,UC San Diego,"$36,504",,
,,,University of Michigan,,$0,$0
,,Ethnic Studies,American Sociological Associ..,,,"$7,000"
,,,NSF National Science Founda..,"$8,836",,
,,Geography,DOE Department of Energy,,,($428)
,,,Franklin and Marshall College,"$12,795",$0,$0
,,,Gordon and Betty Moore Foun..,,"$1,500,000",
,,,HUD Housing and Urban Dev..,($26),,
,,,LBNL Lawrence Berkeley Nati..,"$63,742",$0,
,,,NASA National Aeronautics a..,,,"$30,000"
,,,NSF National Science Founda..,"$498,362","$1,177,677","$110,392"
,,,University of Idaho,,$0,
