Control Unit,Division,Department,Direct Sponsor,FY 2014,UC Report Date

FY 2015,FY 2016
Colleges,College of Chemistry,Chemistry Department,Dana-Farber Cancer Institute,,$0,
,,,David and Lucile Packard Fou..,"$800,000","$75,000",$0
,,,Department of Homeland Sec..,$0,,
,,,DO NOT USE (Use 00VDTV) ..,,,"$100,000"
,,,DOD Defense Threat Reducti..,"$200,000","$750,120","$149,880"
,,,DOD Space and Naval Warfar..,$0,$0,
,,,DOE Department of Energy,"$2,598,687","$8,249,713",$0
,,,Dow Chemical Company,$0,"$1,724,999",$0
,,,Dow Corning Company,$0,,
,,,Eli Lilly and Company,,,"$40,000"
,,,Emory University,"$100,000","$100,000","$100,021"
,,,Exxon Mobil Corporation,,"$780,000","$130,000"
,,,Ford Motor Company,$0,$0,
,,,Genentech Foundation,$0,$0,
,,,"Genentech, Inc.",,,$0
,,,GlaxoSmithKline,,"$285,000",
,,,Harvard University,$0,,
,,,Heising-Simons Foundation,,"$500,000",$0
,,,"HJ Science & Technology, Inc.",,,"$70,000"
,,,Honda (Honda R&D Americas..,"$200,000","$160,000",$0
,,,"Hound Labs, Inc.",,,"$228,231"
,,,Humboldt-Universitat Zu Berlin,$0,,
,,,Idaho National Laboratory,$0,,
,,,Ishikawajima-Harima Heavy In..,,"$78,000","$99,000"
,,,Jane Coffin Childs Memorial F..,"$311,000",$0,
,,,Johns Hopkins University,,,"$1,019,861"
,,,Karlsruhe Institute of Technol..,$0,,
,,,King Abdulaziz City for Scienc..,"$6,000,000",,
,,,King Abdulaziz University,,"($663,313)",
,,,LBNL Lawrence Berkeley Nati..,"$1,525,194","$1,282,505","$1,611,209"
,,,"Leidos, Inc.",,$0,
,,,LG Chem,,"$300,002",
,,,March of Dimes Birth Defects ..,,,"$150,000"
,,,Medical University of Vienna,,,"$87,958"
,,,Membrane Technology and R..,,"$45,000",
