Control Unit,Division,Department,Direct Sponsor,FY 2014,UC Report Date

FY 2015,FY 2016
L&S College of Letters &
Science,L&S Biological Sciences,MCB Molecular & Cell Biology,LBNL Lawrence Berkeley Nati..

Leukemia and Lymphoma Soc..,"$195,000",$0,"$220,000

$0"
,,,Life Sciences Research Foun..,"$360,000","$180,000",
,,,Life Technologies (Incl Invitro..,"$50,000",,
,,,Ludwig Institute for Cancer Re..,$0,,$0
,,,March of Dimes Birth Defects ..,,"$300,000",
,,,Max Planck Institute for Bioph..,,,$0
,,,Max Planck Institute of Molec..,$0,,
,,,Max Planck Institute of Neuro..,$0,,
,,,McKnight Foundation,"$225,000",,
,,,Medical Research Council,,$0,
,,,"Microbiotix, Inc.",$0,,"$117,818"
,,,Ministry of Education,"$66,500","$54,688","$51,302"
,,,"Mirimus, Inc.",$0,,
,,,Mount Sinai Medical Center,$0,,
,,,National Academy of Sciences,,,"$45,000"
,,,National Institute of Genetics,$0,$0,
,,,National Niemann-Pick Diseas..,,,"$90,000"
,,,National Tuberous Sclerosis A..,,,"$150,000"
,,,New York Stem Cell Foundati..,,,"$1,500,000"
,,,NIH AIDS Research & Refere..,,$0,
,,,NIH National Cancer Institute,"$338,727","$8,380,576","$3,190,131"
,,,NIH National Center for Advan..,,$0,
,,,NIH National Center for Rese..,,$0,
,,,NIH National Eye Institute,"$1,194,270","$1,139,563","$1,751,016"
,,,"NIH National Heart, Lung, and..","$272,915","$1,385,019","$216,948"
,,,NIH National Human Genome..,$0,"($96,772)","$2,256,589"
,,,NIH National Institute of Allerg..,"$3,931,909","$5,626,630","$6,290,399"
,,,NIH National Institute of Arthrit..,"$290,245","($6,741)",
,,,NIH National Institute of Biom..,"$2,185,502",,
,,,NIH National Institute of Child ..,"($15,594)","$2,680,386","($21,616)"
,,,NIH National Institute of Denta..,$0,$0,"$245,160"
,,,NIH National Institute of Diabe..,"($313,753)",$0,$0
,,,NIH National Institute of Envir..,"$426,854","$28,080",$0
,,,NIH National Institute of Gene..,"($5,549,792)","$10,963,406","$20,465,316"
