Control Unit,Division,Department,Direct Sponsor,FY 2014,UC Report Date

FY 2015,FY 2016
Schools,School of Law,Boalt Law School,Erasmus Universiteit Rotterda..,$0,"$12,700",
,,,Ford Foundation,,,"$65,000"
,,,Humanity United,,"$190,000","$200,000"
,,,Israel Institute,"$51,000","$60,000","$60,000"
,,,James Irvine Foundation,$0,,
,,,Ministry for Foreign Affairs of ..,,"$82,315",
,,,National School Foundation A..,"$20,000",,
,,,Nature Conservancy,,,"$100,000"
,,,Next 10,,"$69,000","$158,609"
,,,NSF National Science Founda..,,"$291,954","$722,286"
,,,Oak Foundation,,,"$450,000"
,,,Open Society Foundations,,"$305,000","$100,000"
,,,Open Society Institute,$0,"$185,000",$0
,,,Proteus Fund,,"$110,000","$110,000"
,,,Resources Legacy Fund Foun..,"$25,000",,
,,,Samuel Freeman Charitable T..,,"$25,000","$25,000"
,,,Sigrid Rausing Trust,,"$132,530","$374,028"
,,,"Stephen D Bechtel, Jr Founda..",,,"$20,000"
,,,The American-Israeli Coopera..,"$60,000",,
,,,The NEA Foundation,$0,,
,,,Tides Foundation,,"$50,000","$50,000"
,,,UC Merced,,"$589,725",$0
,,,UC MEXUS,,"$1,500",
,,,UC Santa Barbara,,"$64,920",$0
,,,USDS State Department Misc..,,$0,
,,,Vermont Law School,"$15,000",,
,,,Wellspring Advisors LLC,,"$35,000","$35,000"
,,,Women's Foundation of Califo..,,,"$30,000"
,,Total,,"$2,823,441","$2,982,001","$2,804,923"
,School of Optometry,Null,"Addgene, Inc.",$0,,$0
,,,Allergan Pharmaceutical,"$100,000",$0,
,,,American Optometric Foundat..,,,"$16,816"
,,,Burroughs Wellcome Fund,,"$140,000",$0
,,,"Carl Zeiss Meditec, Inc.",,,"$109,000"
,,,Centre National de la Recherc..,"$13,059","$9,650",
