Control Unit,Division,Department,Direct Sponsor,FY 2014,UC Report Date

FY 2015,FY 2016
Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences
(QB3),NIH National Library of Medici..

NIH Office of the Director,"$531,872","$600,000","$1,516,560

$979,500"
,,,North Carolina State University,$0,,
,,,Northern California Institute fo..,,"$88,325",
,,,Northwestern University,,,"$100,000"
,,,NSF National Science Founda..,"$11,073,966","$4,629,765","$5,372,273"
,,,Pew Charitable Trusts,,,"$335,000"
,,,"Pfizer, Inc.",,"$691,611","$2,213,143"
,,,"Pivot Bio, Inc.","($10,000)",,
,,,Pohang University of Science ..,$0,,
,,,Raytheon BBN Technologies ..,"$3,000",,
,,,Rensselaer Polytechnic Institu..,,$0,"($40,682)"
,,,RIKEN,,$0,$0
,,,Samsung Electronics Compan..,"$100,000",$0,"$100,000"
,,,"SENS Research Foundation, I..","$157,623","$20,251",
,,,Siemens AG,"$240,000","$23,086",
,,,Simons Foundation,,"$660,000",$0
,,,SNL Sandia National Laborato..,"$163,364",,"$325,294"
,,,Stanford University,"$830,037","$223,046","$168,229"
,,,"Sun BioTools, Inc.","$1,000","$2,000",
,,,Synthace Ltd,"$1,000","$2,000",
,,,"Synthetic Genomics, Inc.","$34,000",,
,,,TATA Consultancy Services,$0,"$1,502,000",
,,,"TeselaGen Biotechnology, Inc.","($18,000)",,
,,,Texas A&M University,"$234,999",,
,,,The Foundation Fighting Blind..,$0,,
,,,The George E. Hewitt Founda..,,,"$21,444"
,,,The Henry M. Jackson Found..,,,"$59,215"
,,,Twist Bioscience,,"$9,000",
,,,UC CRCC  Cancer Research ..,,"$55,000",
,,,UC San Francisco,"$1,733,682","$3,150,979","$1,549,680"
,,,UC Santa Cruz,$0,,
,,,Universal Bio Mining,,"$2,000",
,,,University Health Network,,"$36,763","($2,365)"
,,,University of Cambridge,$0,,
