Control Unit,Division,Department,Direct Sponsor,FY 2014,UC Report Date

FY 2015,FY 2016
L&S College of Letters &
Science,Division of Arts & Humanities,Scandinavian Languages

SSEAS South & Southeast Asian Studies,Centre for International Mobility

DOED US Department of Edu..,$906,"$27,478

$7,611",$0
,,,UC Irvine,,,"$16,299"
,,Townsend Center for the Humanities,Andrew W Mellon Foundation,,"$950,000",$0
,,Total,,"$476,627","$3,505,227","$1,921,385"
,Division of Physical Sciences,Astronomy,Association of Universities for ..,"$751,343","$1,164,367","$383,467"
,,,Breakthrough Prize Foundation,,,"$4,470,752"
,,,Cornell University,,,"$116,069"
,,,David and Lucile Packard Fou..,,$0,
,,,Gordon and Betty Moore Foun..,,,"$1,500,000"
,,,JPL Jet Propulsion Laboratory,"$50,712","$442,504","$25,625"
,,,Lawrence Livermore National ..,$0,,"$50,108"
,,,MIT Massachusetts Institute o..,$0,,
,,,NASA National Aeronautics a..,"$2,140,953","$1,503,231","$564,766"
,,,NSF National Science Founda..,"$2,058,212","$749,622","$572,376"
,,,Research Corporation for Scie..,,,"$39,333"
,,,Simons Foundation,"$10,410",,$0
,,,Smithsonian Institution,"$304,899","$282,833","$290,249"
,,,Southwest Research Institute,"$49,500","$62,299",
,,,UC Irvine,,"$31,341","$18,411"
,,,UC Los Angeles,"$54,333","$126,169",$0
,,,Universities Space Research ..,,"$6,200",
,,,University of New Hampshire,$0,,
,,Berkeley Seismological Laboratory,Alfred P. Sloan Foundation,,"$78,172",
,,,"Array Information Technology,..",,"$213,855",
,,,Bay Area Rapid Transit,,"$300,000",
,,,California Emergency Manage..,,"$852,000",
,,,Carnegie Institution,,,"$6,000"
,,,DAF AFOSR Air Force Office ..,,,"$246,971"
,,,DAF Air Force Research Labo..,$0,,$0
,,,DOD National Security Agency,"$199,246",$0,
,,,Gordon and Betty Moore Foun..,$0,$0,"$1,204,500"
,,,IRIS Research Institute for Sei..,"$5,000",,
,,,JPL Jet Propulsion Laboratory,"$77,684","$80,746","$84,000"
,,,LBNL Lawrence Berkeley Nati..,"$69,369","$40,706",$0
