Control Unit,Division,Department,Direct Sponsor,FY 2014,UC Report Date

FY 2015,FY 2016
L&S College of Letters &
Science,Division of Physical Sciences,Berkeley Seismological Laboratory,NASA National Aeronautics a..

NSF National Science Founda..,"$0

$16,195","$0

$716,824","$1,425,295"
,,,"REF TEK, A Division of Trimble",,,$0
,,,Southern Methodist University,,,"$53,025"
,,,Stanford University,"$21,000",,
,,,UC Lab Fees Research Progr..,,,$0
,,,UC MEXUS,,"$11,650",
,,,"UNAVCO, Inc.",$0,,
,,,University of Oregon,"$9,317","$45,271",
,,,University of Southern Califor..,"$18,000",$0,"$80,000"
,,,US-Israel Binational Science ..,,,"$32,200"
,,,USDI Geological Survey,"$330,372","$1,324,947","$2,235,519"
,,"Dean, Physical Sciences",Amgen Foundation,,,"$25,000"
,,,Math for America,$0,$0,$0
,,,NSF National Science Founda..,"$1,351,692","$607,446","$1,399,036"
,,,The Educational Advancemen..,,$0,
,,,University of Texas at Austin,,"$18,175",
,,Earth & Planetary Science,Alfred P. Sloan Foundation,$0,,"$750,000"
,,,Cameco Resources,,,"$44,690"
,,,Carnegie Institution,"$268,582","$72,735","$180,129"
,,,Colorado State University,$56,$0,$0
,,,Consortium for Ocean Leader..,$0,,
,,,Cornell University,"$44,487",$0,"($15,032)"
,,,DA ARO Army Research Office,$0,,
,,,DHHS CDC Centers for Disea..,$0,,
,,,DOE Department of Energy,"$2,066,986","$1,546,560","$1,864,164"
,,,Evolving Earth Foundation,,,"$2,700"
,,,Georgia Institute of Technology,,,"$15,977"
,,,Heising-Simons Foundation,,,"$1,372,500"
,,,Japan Atomic Energy Agency,,"$24,300","$39,125"
,,,Johns Hopkins University,"$105,046",$0,"$108,682"
,,,JPL Jet Propulsion Laboratory,$0,$0,"$328,555"
,,,Lawrence Livermore National ..,$0,"$368,784",$0
,,,LBNL Lawrence Berkeley Nati..,"$1,951,228","$459,475","$413,492"
,,,Malin Space Sciences Systems,,"$125,000",
