Sponsor,Control Unit,Division,Department,Total,Non_Stem
BASF Corporation,Colleges,College of Chemistry,Chemistry Department,9069312,False
Aduro Biotech,L&S College of Letters & Sciences,L&S Biological Sciences,Cancer Research Laboratory,7500000,False
"BP Group (BP America, BP Exploration, British Petroleum)",Vice Chancellor - Research,VC Res Other Research Units,EBI Energy Biosciences Institute,5000000,False
Intel Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,3929000,False
"Pfizer, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),2904754,False
Chevron Corporation,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,2825291,False
Intel Corporation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,2409614,False
AstraZeneca Inc.,L&S College of Letters & Sciences,L&S Biological Sciences,Innovative Genomics Initiative,2340000,False
Wellspring Advisors LLC,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,1879998,False
GlaxoSmithKline (Incl Smith Kline Beecham),Colleges,College of Chemistry,Chemical and Biomolecular Engineering,1810954,False
Hoffmann-La Roche LTD. (Inc Roche Molecular Systems),Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),1778482,False
"Altria Group, Inc.",Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,1725779,False
Dow Chemical Company,Colleges,College of Chemistry,Chemistry Department,1724999,False
"Samsung Electronics Company, Ltd.",Colleges,College of Engineering,Mechanical Engineering,1664983,False
BAE Systems,Colleges,College of Engineering,ERSO Engineering Research Support Organization,1640860,False
TATA Consultancy Services,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),1502000,False
"Volkswagen Group of America, Inc.",Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,1500000,False
Toyota Motor Corporation (incl Engineer & Mfg North America),Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,1500000,False
Robert Bosch Corporation GMBH,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,1500000,False
Ford Motor Company,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,1500000,False
Panasonic Corporation,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,1450000,False
"Qualcomm, Inc.",Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,1425000,False
Toyota Motor Corporation (incl Engineer & Mfg North America),Colleges,College of Engineering,ERSO Engineering Research Support Organization,1398560,False
Charles River Analytics,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,1369735,False
"BP Group (BP America, BP Exploration, British Petroleum)",Colleges,College of Chemistry,Chemical and Biomolecular Engineering,1350000,False
"InvenSense, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,1285000,False
"Pfizer, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,Innovative Genomics Initiative,1224682,False
Korea Electric Power Corporation,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,1127017,False
Taiwan Semiconductor Manufacturing Company. Ltd,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,1100000,False
"International Business & Technical Consultants, Inc.",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,1065183,False
NVIDIA Corporation,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,1000000,False
"Cray Research, Inc.",L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,999000,False
"Samsung Electronics Company, Ltd.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,990000,False
BASF Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,980712,False
Exxon Mobil Corporation,Colleges,College of Chemistry,Chemistry Department,910000,False
"Samsung Semiconductor, Inc.",Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,750000,False
"Samsung Electronics Company, Ltd.",Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,750000,False
"Google, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,750000,False
Denso Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,750000,False
"Qualcomm, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,725000,False
State Street Corporation,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,695000,True
"ObjectVideo, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,692232,False
"Murata Manufacturing Co., Ltd",Colleges,College of Engineering,ERSO Engineering Research Support Organization,675000,False
Hewlett-Packard,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,675000,False
Chilisin Electronics Corp.,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,675000,False
"Johnson & Johnson Vision Care, Inc.",Schools,School of Optometry,Null,660096,False
Siemens Corporation,Vice Chancellor - Research,Academic Research Units,Data Science Institute,650000,False
GlobalFoundries U.S. INC.,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,640000,False
"Shoo the Flu, LLC",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,634335,False
"General Electric Company (incl GE Healthcare, GE Light Inst)",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,630124,False
State Street Corporation,Vice Chancellor - Research,Academic Research Units,Data Science Institute,625000,False
Chevron Corporation,Colleges,College of Chemistry,Chemistry Department,625000,False
BASF Corporation,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,619578,False
Chevron Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,600000,False
Fanuc Ltd,Colleges,College of Engineering,ERSO Engineering Research Support Organization,596298,False
Dow Chemical Company,Colleges,College of Engineering,MSE Materials Science & Engineering,570116,False
Texas Instruments,Colleges,College of Engineering,ERSO Engineering Research Support Organization,550000,False
"The Mitchell Group, Inc.",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,541961,False
Siemens Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,540691,False
"Aerosol Dynamics, Inc.",Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",537512,False
Toshiba Corporation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,525000,False
"Newomics, Inc.",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,494601,False
SNL Sandia National Laboratory,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),488658,False
Agilent Technologies,Colleges,College of Chemistry,Chemistry Department,483634,False
Siemens AG,Colleges,College of Engineering,Mechanical Engineering,470509,False
"Pfizer, Inc.",Colleges,College of Chemistry,Chemistry Department,468328,False
Innate Pharma SAS,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,462000,False
Pacific Gas and Electric Company,Vice Chancellor - Research,Academic Research Units,CIEE California Institute for Energy & Environment,450850,False
Robert Bosch North America,Colleges,College of Chemistry,Chemistry Department,450000,False
General Research Institute For Nonferrous Metals,Colleges,College of Engineering,MSE Materials Science & Engineering,450000,False
Western Digital Corporation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,428801,False
Aduro Biotech,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,426154,False
Dow Chemical Company,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,420009,False
"NOVA Scientific, Inc.",Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,412281,False
"Takeda Vaccines, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",400074,False
Synopsys Inc.,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,400000,False
Silvaco International,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,400000,False
